k,xzero,xt,ComponentA,ComponentB,Fatigue
2.985098282,0.5715573127,0.6568900269,0.3269578525,2.0090969583,4.7608204004
2.7808626244,0.5551867342,0.6403993526,0.3596006474,1.7808626244,0.5267560657
2.7568704235,0.100818906,0.6372698581,0.3627301419,1.7568704235,0.9780745202
3.3667725244,0.8123773376,0.8364569715,0.5394366077,1.5506121749,37.4765558187
2.1416067801,0.5946908847,0.5330608731,0.4669391269,1.1416067801,0.0995132354
1.4970652902,0.8084440588,0.332026461,0.667973539,0.4970652902,0.6767926837
0.0688810472,0.073579852,0.0,1.0,0.0,0.073579852
2.0728326681,0.0820071538,0.5175683906,0.4824316094,1.0728326681,0.4369264234
0.1599892195,0.4473055376,0.0,1.0,0.0,0.4473055376
3.1607649262,0.6018867982,0.5288116702,0.2124325584,2.4893155464,25.4559968709
