k,x_zero,x_t,Component A,Component B,Fatigue
1.2158045278,0.0510065638,0.1774993618,0.8225006382,0.2158045278,0.126492798
2.4216382046,0.8003772223,0.5870563992,0.4129436008,1.4216382046,0.6308392773
1.6218999555,0.1693362051,0.3834391594,0.6165608406,0.6218999555,0.2141029543
3.3930676516,0.3153295896,0.4537192764,0.1590007187,2.8535674565,37.4112951628
0.6196806263,0.5074399258,0.0,1.0,0.0,0.5074399258
3.1858423782,0.9450467423,0.5185209559,0.2046322316,2.5339163428,28.1777624852
2.9939977875,0.8916205997,0.6515193813,0.3200236254,2.0358477611,5.6889330274
3.2101962356,0.0712719908,0.5092319809,0.1977245444,2.5754616473,29.1272570578
1.3285429853,0.2124229604,0.2472957134,0.7527042866,0.3285429853,0.034872753
1.2793047391,0.5426707872,0.2183254158,0.7816745842,0.2793047391,0.3243453714
1.4125810654,0.8506448001,0.292076027,0.707923973,0.4125810654,0.7837889954
1.8085315825,0.4163069311,0.447065227,0.552934773,0.8085315825,0.0307582959
2.1330394711,0.280926011,0.5311854218,0.4688145782,1.1330394711,0.2524299616
3.05913919,0.1707794325,0.7435249312,0.4166355967,1.7845929081,16.413383197
2.0032253276,0.006574137,0.5008050337,0.4991949663,1.0032253276,0.4942330315
1.3988511523,0.0443275516,0.2851276575,0.7148723425,0.3988511523,0.2408001059
3.8201982355,0.1232731672,0.9323229338,0.5771302118,1.6154464189,38.5343815687
1.1551682595,0.1620512986,0.1343252461,0.8656747537,0.1551682609,0.0277260525
3.9719243741,0.6222355423,0.5608703764,0.1701647759,3.2960427531,43.9511160471
2.3999130967,0.9650754863,0.5833182454,0.4166817546,1.3999130967,1.4251302315
1.4786651784,0.9651596444,0.3237143779,0.6762856221,0.4786651784,1.1894293375
3.0713808207,0.2659913198,0.7505535011,0.4249670428,1.766145196,17.4162775813
3.4523703622,0.1913989627,0.8435589427,0.5752199408,1.4664980868,40.8116840304
0.6247420094,0.4692315165,0.0,1.0,0.0,0.4692315165
3.5626431337,0.159811175,0.8078144563,0.6524931968,1.2380427263,41.2310046514
0.351147781,0.8236626581,0.0,1.0,0.0,0.8236626581
3.6016167257,0.8663393371,0.8792411297,0.5766549844,1.524726489,42.6222464667
0.8637711585,0.9781224593,8.2e-09,0.9999999905,8.2e-09,0.9781224511
0.1463946892,0.728279968,0.0,1.0,0.0,0.728279968
0.1433085132,0.5621297839,0.0,1.0,0.0,0.5621297839
2.9134980812,0.1049079313,0.6567624161,0.3432217367,1.9135222099,1.7565165229
0.06498148,0.7016813269,0.0,1.0,0.0,0.7016813269
3.8575985325,0.8966494833,0.1462959418,0.0394830049,3.7052889507,51.8749619326
1.0741536576,0.1098989541,0.0690456406,0.9309534667,0.0741665863,0.0408533135
0.9987552323,0.1993614025,0.0086450869,0.9912678888,0.0087212418,0.1907163156
1.4685398703,0.296077289,0.3190515149,0.6809484851,0.4685398703,0.0229742259
0.9473093455,0.0187987089,6.17027e-05,0.9999348611,6.17067e-05,0.0187370062
3.9181023586,0.7296340721,0.7708237892,0.2692056307,2.863327142,44.8870700839
0.9313430447,0.6708752913,4.28374e-05,0.9999540026,4.28394e-05,0.6708324539
3.7614905439,0.7518210166,0.8806951086,0.6259579034,1.4069558093,38.0453258259
3.0262522316,0.3348091954,0.6272442233,0.2932819833,2.1387069753,3.907402291
1.9301713593,0.636415736,0.4819112846,0.5180887154,0.9301713593,0.2250794355
0.6290480893,0.3929467408,0.0,1.0,0.0,0.3929467408
1.9336846151,0.1805343309,0.4828525851,0.5171474149,0.9336846151,0.3023182541
2.3617984092,0.5869855935,0.5765938379,0.4234061621,1.3617984092,0.0228670214
3.2140977258,0.9343108254,0.5078004441,0.1966711365,2.5819774731,30.0089658206
2.8444944234,0.2318115471,0.6484436809,0.3515563274,1.8444944105,1.2305864049
2.5892120261,0.0816206475,0.6137821121,0.3862178879,1.5892120261,0.5825018555
2.7432040595,0.5836080458,0.6354627733,0.3645372267,1.7432040595,0.304670316
2.1789909869,0.4264192649,0.5410719888,0.4589280112,1.1789909869,0.1178526431
2.6274065739,0.4760098894,0.6193965525,0.3806034475,1.6274065739,0.3470340437
2.0488788438,0.2455712757,0.5119281928,0.4880718072,1.0488788438,0.2663908704
3.3238772063,0.5026401413,0.4724136617,0.1715601891,2.7536322041,35.5832535108
0.5879364689,0.7281288591,0.0,1.0,0.0,0.7281288591
0.3949341671,0.7124682991,0.0,1.0,0.0,0.7124682991
3.7843180397,0.7466242805,0.4765017056,0.1477427289,3.2252125656,40.0659690697
1.6421345141,0.9336885023,0.3910364885,0.6089635115,0.6421345141,1.121381829
0.1895388013,0.7879573868,0.0,1.0,0.0,0.7879573868
3.5633538665,0.3446747954,0.3741003611,0.1191922592,3.1386296687,41.0624786656
0.6120735954,0.4105096301,0.0,1.0,0.0,0.4105096301
0.3872420304,0.9461073811,0.0,1.0,0.0,0.9461073811
3.7011598401,0.8992964767,0.8161891875,0.3283100033,2.4860320408,29.4636233773
1.0345403034,0.5999049725,0.0342345035,0.9657343528,0.0354491931,0.5656704689
0.6499523946,0.2792692132,0.0,1.0,0.0,0.2792692132
3.2839404285,0.9114724655,0.4843331588,0.1798209358,2.6934191876,33.1559716322
1.3483337453,0.877524047,0.2583438607,0.7416561393,0.3483337453,0.8460419675
3.6570038673,0.2930263925,0.2998967645,0.0901294572,3.3274000937,38.2921131195
1.5337187833,0.020538692,0.3479899895,0.6520100105,0.5337187833,0.3274512975
2.9820583108,0.8557651754,0.6688779725,0.3396902032,1.9690823172,3.2747774258
3.3758863534,0.485137964,0.4581574208,0.1619389183,2.8291989689,37.9806183857
3.0793502784,0.3159535824,0.7547524422,0.4300085573,1.7552033076,14.7474848004
1.9570201345,0.0371027384,0.4890190538,0.5109809462,0.9570201345,0.4519163154
2.4724860519,0.6800577317,0.59554878,0.40445122,1.4724860519,0.2743776888
3.9842934425,0.9012622811,0.8193043071,0.2893664924,2.8313724244,42.795138003
1.6865179301,0.8347722052,0.407062337,0.592937663,0.6865179301,0.7765999003
0.398384056,0.9464341777,0.0,1.0,0.0,0.9464341777
1.5356006999,0.247582006,0.3487890439,0.6512109561,0.5356006999,0.1012070379
3.4191901557,0.4169527382,0.447192299,0.1547304713,2.8901372515,39.7554656546
1.56282354,0.2401342846,0.3601324945,0.6398675055,0.56282354,0.1199982099
3.0779129754,0.4726876912,0.5708810426,0.245985567,2.3207908068,18.5965667482
3.8304773003,0.159854465,0.5032907746,0.8443963722,0.596036164,53.2621048376
2.4124030472,0.9185059037,0.5854755692,0.4145244308,1.4124030472,1.179886255
2.5715294651,0.9554398356,0.6111263691,0.3888736309,1.5715294651,1.5000025312
3.7597538226,0.7086052352,0.9052160761,0.5961003646,1.5185631983,40.29362204
3.5750062649,0.5427152332,0.5347355011,0.1831027009,2.920412962,41.1132672448
2.8619335548,0.2944786671,0.6505858968,0.3494141436,1.8619334928,0.9395511703
3.4099044589,0.934145646,0.4494880347,0.1562244427,2.877194035,39.5772225086
0.34229362,0.6954554009,0.0,1.0,0.0,0.6954554009
3.7411317382,0.7642913212,0.4914340891,0.1555580442,3.1591686018,40.8361853747
2.2421410415,0.3538207258,0.5539977274,0.4460022726,1.2421410415,0.2166986027
2.3410067808,0.9511739498,0.5728333603,0.4271666397,1.3410067808,1.3128294181
